Exercise Name,Direct Image Link,YouTube Link
3/4 sit-up,,https://www.youtube.com/watch?v=FXalPpHfkZk
45° side bend,,https://www.youtube.com/watch?v=rDn-E1xL_wA
air bike,,https://www.youtube.com/watch?v=NbpI56SC-bw
all fours squad stretch,,https://www.youtube.com/watch?v=nZ49awnyKrc
alternate heel touchers,,https://www.youtube.com/watch?v=i-BBrCVNT9A
alternate lateral pulldown,,https://www.youtube.com/watch?v=bNmvKpJSWKM
ankle circles,,https://www.youtube.com/watch?v=z24gW6aHJrI
archer pull up,,https://www.youtube.com/watch?v=6qtY8j92gA8
archer push up,,https://www.youtube.com/watch?v=Gdej5nhhb38
arm slingers hanging bent knee legs,,https://www.youtube.com/watch?v=hgVidvQzNQo
arm slingers hanging straight legs,,https://www.youtube.com/watch?v=ZJaYiHEDhbc
arms apart circular toe touch (male),,https://www.youtube.com/watch?v=lzR7tzI1JUI
arms overhead full sit-up (male),,https://www.youtube.com/watch?v=pYmpOSgtykk
assisted chest dip (kneeling),,https://www.youtube.com/watch?v=sVcl3ZR3aPs
assisted hanging knee raise,,https://www.youtube.com/watch?v=TUP4tig9scU
assisted hanging knee raise with throw down,,https://www.youtube.com/watch?v=VhKqEBB-Cg0
assisted lying calves stretch,,https://www.youtube.com/watch?v=FgN-WXPQqOo
assisted lying glutes stretch,,https://www.youtube.com/watch?v=cj4dOfA46XY
assisted lying gluteus and piriformis stretch,,https://www.youtube.com/watch?v=nj1-GzbAauI
assisted lying leg raise with lateral throw down,,https://www.youtube.com/watch?v=IR9oIkrvLvY
assisted lying leg raise with throw down,,https://www.youtube.com/watch?v=A5PhLCdqhJU
assisted motion russian twist,,https://www.youtube.com/watch?v=a7lxjiiQeCM
assisted parallel close grip pull-up,,https://www.youtube.com/watch?v=618kx6wiDGM
assisted prone hamstring,,https://www.youtube.com/watch?v=lGNeJsdqJwg
assisted prone lying quads stretch,,https://www.youtube.com/watch?v=RLZBBlR1C2g
assisted prone rectus femoris stretch,,https://www.youtube.com/watch?v=sN8p_Yt_ZZs
assisted pull-up,,https://www.youtube.com/watch?v=CdO5BvP6Ti8
assisted seated pectoralis major stretch with stability ball,,https://www.youtube.com/watch?v=iMCcMGTiuGU
assisted side lying adductor stretch,,https://www.youtube.com/watch?v=iWmZ2OTrU3U
assisted sit-up,,https://www.youtube.com/watch?v=0fkQnWnjX80
assisted standing chin-up,,https://www.youtube.com/watch?v=ClAe6ERjkoA
assisted standing pull-up,,https://www.youtube.com/watch?v=9d5gJglvdkQ
assisted standing triceps extension (with towel),,https://www.youtube.com/watch?v=6qaGfCMl9zs
assisted triceps dip (kneeling),,https://www.youtube.com/watch?v=5oCLoTP_j90
assisted wide-grip chest dip (kneeling),,https://www.youtube.com/watch?v=LH9iZNaO7oU
astride jumps (male),,https://www.youtube.com/watch?v=scNT0yNlVAI
back and forth step,,https://www.youtube.com/watch?v=DHLc6fY5T4s
back extension on exercise ball,,https://www.youtube.com/watch?v=YGqr6rLaBdM
back lever,,https://www.youtube.com/watch?v=0CD5Pqs5FCw
back pec stretch,,https://www.youtube.com/watch?v=O8rJw_TmC1Y
backward jump,,https://www.youtube.com/watch?v=b_cj_WSXgqE
balance board,,https://www.youtube.com/watch?v=LKOJabhvUmY
band alternating biceps curl,,https://www.youtube.com/watch?v=OUrlYlNqipY
band alternating v-up,,https://www.youtube.com/watch?v=-ipF-Xl5eY4
band assisted pull-up,,https://www.youtube.com/watch?v=32WqAGWkMVM
band assisted wheel rollerout,,https://www.youtube.com/watch?v=Id1opqGJKHw
band bench press,,https://www.youtube.com/watch?v=T0UJ0W-_yIE
band bent-over hip extension,,https://www.youtube.com/watch?v=wrQixJxbh3o
band bicycle crunch,,https://www.youtube.com/watch?v=lo18Hlm3UII
band close-grip pulldown,,https://www.youtube.com/watch?v=0H7d2qjyKbU
band close-grip push-up,,https://www.youtube.com/watch?v=CZT3gEobyOo
band concentration curl,,https://www.youtube.com/watch?v=XIHrZeZm9sI
band fixed back close grip pulldown,,https://www.youtube.com/watch?v=XFUHrs8pnx8
band fixed back underhand pulldown,,https://www.youtube.com/watch?v=8b67ouJTRkE
band front lateral raise,,https://www.youtube.com/watch?v=9cDGMzxXVcU
band front raise,,https://www.youtube.com/watch?v=pYVlZiu2Mps
band hip lift,,https://www.youtube.com/watch?v=px7mrenkiQw
band horizontal pallof press,,https://www.youtube.com/watch?v=5aZ0IhJS8O8
band jack knife sit-up,,https://www.youtube.com/watch?v=wMBhRq24Dhc
band kneeling one arm pulldown,,https://www.youtube.com/watch?v=8WDOFDUTwDo
band kneeling twisting crunch,,https://www.youtube.com/watch?v=6WAS7ZakgSE
band lying hip internal rotation,,https://www.youtube.com/watch?v=PvQn5k6_dDo
band lying straight leg raise,,https://www.youtube.com/watch?v=ZB_YsfkGm14
band one arm overhead biceps curl,,https://www.youtube.com/watch?v=XIHrZeZm9sI
band one arm single leg split squat,,https://www.youtube.com/watch?v=ynGQy_GOfrQ
